/*
*********************************************************************************************************
*	            
*	型号: STM32F407ZET6
*	封装: LQFP-144
*
*********************************************************************************************************
*/

编号    功能
  1 PE2/TRACECLK/FSMC_A23
  2 PE3/TRACED0/FSMC_A19
  3 PE4/TRACED1/FSMC_A20/DCMI_D4
  4 PE5/TRACED2/FSMC_A21/TIM9_CH1/DCMI_D6
  5 PE6/TRACED3/FSMC_A22/TIM9_CH2/DCMI_D7
  6 VBAT
  7 PC13[RTC_AF1]
  8 PC14-OSC32_IN(PC14)[OSC32_IN]
  9 PC15-OSC32_OUT(PC15)[OSC32_OUT]
 10 PF0/FSMC_A0/I2C2_SDA
 11 PF1/FSMC_A1/I2C2_SCL
 12 PF2/FSMC_A2/I2C2_SMBA
 13 PF3/FSMC_A3[ADC3_IN9]
 14 PF4/FSMC_A4[ADC3_IN14]
 15 PF5/FSMC_A5[ADC3_IN15]
 16 VSS
 17 VDD
 18 PF6/TIM10_CH1/FSMC_NIORD[ADC3_IN4]
 19 PF7/TIM11_CH1/FSMC_NREG[ADC3_IN5]
 20 PF8/TIM13_CH1/FSMC_NIOWR[ADC3_IN6]
 21 PF9/TIM14_CH1/FSMC_CD[ADC3_IN7]
 22 PF10/FSMC_INTR[ADC3_IN8]
 23 PH0-OSC_IN(PH0)[OSC_IN]
 24 PH1-OSC_OUT(PH1)[OSC_OUT]
 25 NRST
 26 PC0/OTG_HS_ULPI_STP[ADC123_IN10]
 27 PC1/ETH_MDC[ADC123_IN11]
 28 PC2/SPI2_MISO/OTG_HS_ULPI_DIR/ETH_MII_TXD2/I2S2ext_SD[ADC123_IN12]
 29 PC3/SPI2_MOSI/I2S2_SD/OTG_HS_ULPI_NXT/ETH_MII_TX_CLK[ADC123_IN13]
 30 VDD
 31 VSSA
 32 VREF+
 33 VDDA
 34 PA0-WKUP(PA0)/USART2_CTS/UART4_TX/ETH_MII_CRS/TIM2_CH1_ETR/TIM5_CH1/TIM8_ETR[ADC123_IN0/WKUP]
 35 PA1/USART2_RTS/UART4_RX/ETH_RMII_REF_CLK/ETH_MII_RX_CLK/TIM5_CH2/TIMM2_CH2[ADC123_IN1]
 36 PA2/USART2_TX/TIM5_CH3/TIM9_CH1/TIM2_CH3/ETH_MDIO[ADC123_IN2]
 37 PA3/USART2_RX/TIM5_CH4/TIM9_CH2/TIM2_CH4/OTG_HS_ULPI_D0/ETH_MII_COL[ADC123_IN3]
 38 VSS
 39 VDD
 40 PA4/SPI1_NSS/SPI3_NSS/USART2_CK/DCMI_HSYNC/OTG_HS_SOF/I2S3_WS[ADC12_IN4 /DAC1_OUT]
 41 PA5/SPI1_SCK/OTG_HS_ULPI_CK/TIM2_CH1_ETR/TIM8_CHIN[ADC12_IN5/DAC2_OUT]
 42 PA6/SPI1_MISO/TIM8_BKIN/TIM13_CH1/DCMI_PIXCLK/TIM3_CH1/TIM1_BKIN[ADC12_IN6]
 43 PA7/SPI1_MOSI/TIM8_CH1N/TIM14_CH1/TIM3_CH2/ETH_MII_RX_DV/TIM1_CH1N/RMII_CRS_DV[ADC12_IN7]
 44 PC4/ETH_RMII_RX_D0/ETH_MII_RX_D0[ADC12_IN14]
 45 PC5/ETH_RMII_RX_D1/ETH_MII_RX_D1[ADC12_IN15]
 46 PB0/TIM3_CH3/TIM8_CH2N/OTG_HS_ULPI_D1/ETH_MII_RXD2/TIM1_CH2N[ADC12_IN8]
 47 PB1/TIM3_CH4/TIM8_CH3N/OTG_HS_ULPI_D2/ETH_MII_RXD3/OTG_HS_INTN/TIM1_CH3N[ADC12_IN9]
 48 PB2-BOOT1/(PB2)
 49 PF11/DCMI_12
 50 PF12/FSMC_A6
 51 VSS
 52 VDD
 53 PF13/FSMC_A7
 54 PF14/FSMC_A8
 55 PF15/FSMC_A9
 56 PG0/FSMC_A10
 57 PG1/FSMC_A11
 58 PE7/FSMC_D4/TIM1_ETR
 59 PE8/FSMC_D5/TIM1_CH1N
 60 PE9/FSMC_D6/TIM1_CH1
 61 VSS
 62 VDD
 63 PE10/FSMC_D7/TIM1_CH2N
 64 PE11/FSMC_D8/TIM1_CH2
 65 PE12/FSMC_D9/TIM1_CH3N
 66 PE13/FSMC_D10/TIM1_CH3
 67 PE14/FSMC_D11/TIM1_CH4
 68 PE15/FSMC_D12/TIM1_BKIN
 69 PB10/SPI2_SCK/I2S2_CK/I2C2_SCL/USART3_TX/OTG_HS_ULPI_D3/ETH_MII_RX_ER/TIM2_CH3
 70 PB11/I2C2_SDA/USART3_RX/OTG_HS_ULPI_D4/ETH_RMII_TX_EN/ETH_MII_TX_EN/TIM2_CH4
 71 VCAP_1
 72 VDD
 73 PB12/SPI2_NSS/I2S2_WS/I2C2_SMBA/USART3_CK/TIM1_BKIN/CAN2_RX/OTG_HS_ULPI_D5/ETH_RMII_TXD0/ETH_MII_TXD0/OTG_HS_ID
 74 PB13/SPI2_SCK/I2S2_CK/USART3_CTS/TIM1_CH1N/CAN2_TX/OTG_HS_ULPI_D6/ETH_RMII_TXD1/ETH_MII_TXD1[OTG_HS_VBUS]
 75 PB14/SPI2_MISO/TIM1_CH2N/TIM12_CH1/OTG_HS_DM/USART3_RTS/TIM8_CH2N/I2S2ext_SD
 76 PB15/SPI2_MOSI/I2S2_SD/TIM1_CH3N/TIM8_CH3N/TIM12_CH2/OTG_HS_DP
 77 PD8/FSMC_D13/USART3_TX
 78 PD9/FSMC_D14/USART3_RX
 79 PD10/FSMC_D15/USART3_CK
 80 PD11/FSMC_CLE/FSMC_A16/USART3_CTS
 81 PD12/FSMC_ALE/FSMC_A17/TIM4_CH1/USART3_RTS
 82 PD13/FSMC_A18/TIM4_CH2
 83 VSS
 84 VDD
 85 PD14/FSMC_D0/TIM4_CH3
 86 PD15/FSMC_D1/TIM4_CH4
 87 PG2/FSMC_A12
 88 PG3/FSMC_A13
 89 PG4/FSMC_A14
 90 PG5/FSMC_A15
